agent_id,employee_code,vendor_id,team,status,first_seen_active_at,identity_confidence
AGT0000080,EMP00028,VND0000014,T1,INACTIVE,2026-01-01 13:49:08,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000081,EMP00036,VND0000001,DIGITAL,ACTIVE,2026-01-02 14:06:31,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000082,EMP00068,VND0000003,DIGITAL,ACTIVE,2026-01-01 17:34:04,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000083,EMP00049,VND0000010,T2,SUSPENDED,2026-01-03 16:02:19,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000084,EMP00021,VND0000005,FIELD,ACTIVE,2026-01-01 22:58:02,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000085,EMP00020,VND0000001,T1,SUSPENDED,2026-01-01 00:01:37,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000086,EMP00991,VND0000007,DIGITAL,INACTIVE,2026-01-01 12:49:47,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000087,EMP00027,VND0000003,T1,SUSPENDED,2026-01-02 14:37:12,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000088,EMP00097,VND0000014,FIELD,ACTIVE,2026-01-01 13:17:51,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000089,EMP00634,VND0000001,T3,INACTIVE,2026-01-01 20:31:49,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000090,EMP00049,VND0000009,T2,INACTIVE,2026-01-01 14:46:40,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000091,EMP00773,VND0000003,DIGITAL,SUSPENDED,2026-01-02 04:42:08,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000092,EMP00010,VND0000014,FIELD,ACTIVE,2026-01-01 08:56:34,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000093,EMP00041,VND0000003,FIELD,ACTIVE,2026-01-05 12:40:12,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000094,EMP00042,VND0000006,FIELD,ACTIVE,2026-01-01 10:00:36,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000095,EMP00008,VND0000005,FIELD,ACTIVE,2026-01-01 07:34:04,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000096,EMP00007,VND0000008,T3,SUSPENDED,2026-01-02 16:29:16,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000097,EMP00023,VND0000002,DIGITAL,SUSPENDED,2026-01-01 03:04:19,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000098,EMP00023,VND0000006,DIGITAL,ACTIVE,2026-01-02 15:37:03,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000099,EMP00004,VND0000002,DIGITAL,INACTIVE,2026-01-01 16:47:33,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000100,EMP00092,VND0000001,DIGITAL,ACTIVE,2026-01-04 06:19:56,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000101,EMP00007,VND0000015,T3,SUSPENDED,2026-01-05 09:19:09,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000102,EMP00914,VND0000013,FIELD,INACTIVE,2026-01-01 04:15:53,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000103,EMP01004,VND0000002,T3,ACTIVE,2026-01-01 05:15:27,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000104,EMP00049,VND0000005,T1,INACTIVE,2026-01-02 15:13:47,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000105,EMP00150,VND0000002,DIGITAL,INACTIVE,2026-01-02 23:34:18,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000106,EMP00432,VND0000007,T2,SUSPENDED,2026-01-01 10:45:05,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000107,EMP00163,VND0000006,DIGITAL,INACTIVE,2026-01-02 10:48:11,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000108,EMP00003,VND0000003,T3,INACTIVE,2026-01-01 14:47:31,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000109,EMP00649,VND0000012,T3,INACTIVE,2026-01-03 11:23:18,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000110,EMP00031,VND0000008,DIGITAL,ACTIVE,2026-01-12 21:29:58,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000111,EMP00029,VND0000012,DIGITAL,ACTIVE,2026-01-06 15:52:01,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000112,EMP00012,VND0000006,DIGITAL,ACTIVE,2026-01-04 12:19:49,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000113,EMP00024,VND0000007,DIGITAL,INACTIVE,2026-01-08 18:30:46,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000114,EMP00019,VND0000001,T2,ACTIVE,2026-01-02 03:33:46,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000115,EMP00009,VND0000002,FIELD,INACTIVE,2026-01-02 18:23:02,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000116,EMP00046,VND0000003,FIELD,INACTIVE,2026-01-01 12:01:12,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000117,EMP00415,VND0000001,DIGITAL,SUSPENDED,2026-01-04 20:53:51,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000118,EMP01068,VND0000007,T1,INACTIVE,2026-01-03 08:56:24,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000119,EMP00064,VND0000008,T1,ACTIVE,2026-01-04 06:32:57,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000120,EMP00011,VND0000012,T1,ACTIVE,2026-01-01 03:52:52,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000121,EMP00028,VND0000001,T2,SUSPENDED,2026-01-03 19:22:55,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000122,EMP00975,VND0000009,DIGITAL,ACTIVE,2026-01-03 15:17:36,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000123,EMP00036,VND0000006,T1,ACTIVE,2026-01-02 15:24:12,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000124,EMP00037,VND0000001,DIGITAL,INACTIVE,2026-01-12 17:06:45,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000125,EMP00027,VND0000003,FIELD,ACTIVE,2026-01-02 10:44:47,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000126,EMP00500,VND0000008,T2,SUSPENDED,2026-01-03 07:37:20,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000127,EMP00439,VND0000002,T1,ACTIVE,2026-01-01 03:54:40,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000128,EMP00054,VND0000011,T3,INACTIVE,2026-01-04 06:40:27,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000129,EMP00002,VND0000001,T3,SUSPENDED,2026-01-02 19:12:53,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000130,EMP00545,VND0000008,T2,SUSPENDED,2026-01-02 18:33:37,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000131,EMP00076,VND0000015,DIGITAL,SUSPENDED,2026-01-01 22:41:39,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000132,EMP00009,VND0000005,T3,ACTIVE,2026-01-01 16:46:48,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000133,EMP00002,VND0000006,FIELD,SUSPENDED,2026-01-01 05:19:57,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000134,EMP00069,VND0000012,T1,INACTIVE,2026-01-01 15:12:26,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000135,EMP00551,VND0000006,FIELD,SUSPENDED,2026-01-03 14:30:57,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000136,EMP00041,VND0000003,DIGITAL,ACTIVE,2026-01-01 09:32:37,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000137,EMP00048,VND0000008,DIGITAL,ACTIVE,2026-01-01 13:15:11,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000138,EMP00345,VND0000006,T1,ACTIVE,2026-01-04 01:05:38,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000139,EMP00049,VND0000009,T2,ACTIVE,2026-01-07 07:08:22,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000140,EMP00134,VND0000002,DIGITAL,SUSPENDED,2026-01-04 09:39:10,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000141,EMP00017,VND0000004,T2,SUSPENDED,2026-01-02 20:58:09,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000142,EMP00080,VND0000005,FIELD,ACTIVE,2026-01-03 11:36:02,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000143,EMP00066,VND0000015,FIELD,INACTIVE,2026-01-05 08:53:32,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000144,EMP00487,VND0000006,DIGITAL,INACTIVE,2026-01-02 23:17:55,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000145,EMP00021,VND0000003,T3,ACTIVE,2026-01-02 20:15:25,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000146,EMP00043,VND0000013,FIELD,INACTIVE,2026-01-01 08:33:14,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000147,EMP00237,VND0000003,FIELD,INACTIVE,2026-01-01 16:01:18,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000148,EMP00061,VND0000003,T3,ACTIVE,2026-01-07 20:55:07,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000149,EMP00227,VND0000009,DIGITAL,INACTIVE,2026-01-01 07:42:14,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000150,EMP00032,VND0000008,DIGITAL,ACTIVE,2026-01-03 04:57:44,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000151,EMP00588,VND0000008,FIELD,INACTIVE,2026-01-01 11:07:08,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000152,EMP00011,VND0000007,T3,INACTIVE,2026-01-03 11:35:38,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000153,EMP00008,VND0000009,DIGITAL,INACTIVE,2026-01-02 22:16:26,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000154,EMP00033,VND0000003,T1,INACTIVE,2026-01-02 23:53:43,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000155,EMP00007,VND0000006,T3,INACTIVE,2026-01-03 03:54:11,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000156,EMP00017,VND0000006,T3,SUSPENDED,2026-01-01 16:52:04,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000157,EMP00018,VND0000013,T3,ACTIVE,2026-01-01 16:09:19,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000158,EMP00044,VND0000006,T2,INACTIVE,2026-01-01 02:19:03,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000159,EMP00999,VND0000015,DIGITAL,ACTIVE,2026-01-02 09:31:53,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000160,EMP00057,VND0000004,T2,ACTIVE,2026-01-04 02:05:23,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000161,EMP00001,VND0000005,T2,ACTIVE,2026-01-06 02:08:06,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000162,EMP00058,VND0000014,FIELD,SUSPENDED,2026-01-02 11:29:44,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000163,EMP00030,VND0000009,T1,INACTIVE,2026-01-03 05:57:42,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000164,EMP00045,VND0000006,T1,SUSPENDED,2026-01-02 01:13:14,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000165,EMP00022,VND0000001,T2,INACTIVE,2026-01-08 05:16:03,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000166,EMP00711,VND0000001,T3,INACTIVE,2026-01-01 09:31:44,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000167,EMP00983,VND0000003,DIGITAL,SUSPENDED,2026-01-08 17:37:06,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000168,EMP00003,VND0000005,DIGITAL,ACTIVE,2026-01-02 00:34:47,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000169,EMP00013,VND0000012,DIGITAL,INACTIVE,2026-01-01 16:34:12,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000170,EMP00120,VND0000011,FIELD,ACTIVE,2026-01-02 15:27:47,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000171,EMP00079,VND0000004,T3,ACTIVE,2026-01-04 15:48:55,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000172,EMP00002,VND0000004,FIELD,ACTIVE,2026-01-06 06:59:10,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000173,EMP00868,VND0000010,FIELD,ACTIVE,2026-01-01 17:46:02,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000174,EMP00640,VND0000013,FIELD,INACTIVE,2026-01-12 02:59:12,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000175,EMP00027,VND0000006,DIGITAL,SUSPENDED,2026-01-01 21:57:59,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000176,EMP00003,VND0000012,T2,ACTIVE,2026-01-02 13:57:21,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000177,EMP00024,VND0000006,DIGITAL,INACTIVE,2026-01-02 09:11:57,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000178,EMP00899,VND0000008,T3,INACTIVE,2026-01-03 07:10:09,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000179,EMP00014,VND0000002,FIELD,SUSPENDED,2026-01-01 20:04:59,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000180,EMP00340,VND0000007,T2,SUSPENDED,2026-01-04 13:42:19,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000181,EMP00022,VND0000007,T1,SUSPENDED,2026-01-02 13:45:17,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000182,EMP00358,VND0000002,T3,INACTIVE,2026-01-01 07:21:35,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000183,EMP00027,VND0000008,FIELD,INACTIVE,2026-01-01 10:33:24,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000184,EMP00026,VND0000015,T1,INACTIVE,2026-01-15 10:01:37,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000185,EMP00722,VND0000002,T2,ACTIVE,2026-01-01 17:12:39,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
AGT0000186,EMP01093,VND0000005,T1,INACTIVE,2026-01-01 12:34:18,LOW/MEDIUM — recycled source ID; first_seen is only an activity proxy
