dpd_bucket,risk_segment,geography,accounts,recovered,outstanding,month,recovery_per_account,recovery_rate
61-90,LOW,Delhi,123,244238.33,43211629.73,2026-01,1985.6774796747966,0.005652143451336567
61-90,LOW,Haryana,129,1109521.28,44047221.56,2026-01,8600.94015503876,0.025189359072027698
61-90,LOW,Karnataka,138,641503.48,46973808.87,2026-01,4648.575942028985,0.013656620474940848
61-90,LOW,Maharashtra,225,1435754.02,74938081.56,2026-01,6381.128977777777,0.019159204373953017
61-90,LOW,Odisha,131,287053.42,46168677.64,2026-01,2191.2474809160303,0.006217492782407532
61-90,LOW,Rajasthan,114,837242.4,38105352.3,2026-01,7344.231578947369,0.021971779539222372
61-90,LOW,Tamil Nadu,115,1069412.11,37625238.5,2026-01,9299.235739130436,0.028422733054569212
61-90,LOW,Telangana,137,614827.96,51402768.43,2026-01,4487.795328467153,0.011960989238104349
61-90,LOW,UNKNOWN,141,738111.8200000001,49667781.36,2026-01,5234.83560283688,0.014860978279864122
61-90,LOW,West Bengal,129,678264.4,47025152.2,2026-01,5257.863565891473,0.01442343869755726
61-90,MEDIUM,Delhi,145,884087.63,52332184.2,2026-01,6097.156068965517,0.01689376515647134
61-90,MEDIUM,Haryana,110,624214.6699999999,36393936.14,2026-01,5674.678818181817,0.01715161194982522
61-90,MEDIUM,Karnataka,102,875096.96,35627533.55,2026-01,8579.381960784312,0.0245623783855787
61-90,MEDIUM,Maharashtra,242,1036412.11,92628065.14,2026-01,4282.694669421488,0.011188964256497694
61-90,MEDIUM,Odisha,139,1413439.21,48662201.42,2026-01,10168.627410071942,0.029045936450772265
61-90,MEDIUM,Rajasthan,119,877702.26,39804658.22,2026-01,7375.6492436974795,0.02205023982743294
61-90,MEDIUM,Tamil Nadu,116,1001688.3200000001,41415013.8,2026-01,8635.244137931035,0.024186598725701745
61-90,MEDIUM,Telangana,129,831072.73,44889555.32,2026-01,6442.424263565891,0.018513721601285848
61-90,MEDIUM,UNKNOWN,121,179337.81,40256347.13,2026-01,1482.1306611570249,0.004454895259643495
61-90,MEDIUM,West Bengal,140,816350.5700000001,48952067.43,2026-01,5831.075500000001,0.016676528956971165
61-90,NPA,Delhi,110,543717.13,36901304.93,2026-01,4942.883,0.014734360506529653
61-90,NPA,Haryana,107,731427.51,36661129.52,2026-01,6835.771121495327,0.0199510358675932
61-90,NPA,Karnataka,131,937610.87,45998433.53,2026-01,7157.334885496183,0.02038353913483801
61-90,NPA,Maharashtra,256,1369035.82,90063652.62,2026-01,5347.796171875,0.015200758354497215
61-90,NPA,Odisha,129,920925.68,42106475.0,2026-01,7138.958759689923,0.02187135541505196
61-90,NPA,Rajasthan,140,1365449.8599999999,49005200.52,2026-01,9753.213285714284,0.02786336644909212
61-90,NPA,Tamil Nadu,110,812024.85,33141941.01,2026-01,7382.04409090909,0.024501427051450777
61-90,NPA,Telangana,131,430944.04,40290352.13,2026-01,3289.6491603053432,0.010695961122641097
61-90,NPA,UNKNOWN,127,805252.55,42687483.28,2026-01,6340.57125984252,0.018863903142710643
61-90,NPA,West Bengal,118,705448.74,40974948.92,2026-01,5978.379152542373,0.017216586197028014
90+,HIGH,Delhi,120,976988.74,39967413.84,2026-01,8141.572833333334,0.024444632417577508
90+,HIGH,Haryana,113,527849.55,35833622.12,2026-01,4671.234955752213,0.014730566400246453
90+,HIGH,Karnataka,136,1137164.53,50784664.09,2026-01,8361.503897058823,0.022391888385531702
90+,HIGH,Maharashtra,258,1309898.7,89484442.48,2026-01,5077.126744186046,0.014638284194403576
90+,HIGH,Odisha,139,963713.76,51669937.96,2026-01,6933.192517985612,0.01865134347066671
90+,HIGH,Rajasthan,110,859783.51,40165277.79,2026-01,7816.213727272728,0.021406138767302674
90+,HIGH,Tamil Nadu,132,636110.27,48746305.0,2026-01,4819.017196969697,0.013049404872841132
90+,HIGH,Telangana,125,605601.6,42556794.48,2026-01,4844.8128,0.014230432705278323
90+,HIGH,UNKNOWN,138,315783.83,52266536.36,2026-01,2288.288623188406,0.006041797524614084
90+,HIGH,West Bengal,120,910461.27,38300355.95,2026-01,7587.17725,0.023771613798800738
90+,LOW,Delhi,122,829972.62,43898418.410000004,2026-01,6803.054262295082,0.018906663384732177
90+,LOW,Haryana,103,460354.63,36286506.75,2026-01,4469.462427184466,0.012686661550853197
90+,LOW,Karnataka,126,945293.54,38871232.8,2026-01,7502.329682539683,0.024318589144412216
90+,LOW,Maharashtra,264,766705.04,90836743.12,2026-01,2904.1857575757576,0.008440472584834347
90+,LOW,Odisha,140,606299.06,51505388.22,2026-01,4330.707571428572,0.011771565674066092
90+,LOW,Rajasthan,123,663491.82,44618435.01,2026-01,5394.24243902439,0.014870351679777573
90+,LOW,Tamil Nadu,129,998679.18,43674716.18,2026-01,7741.699069767442,0.022866300398703587
90+,LOW,Telangana,132,1244376.23,47385489.19,2026-01,9427.092651515151,0.026260702406394214
90+,LOW,UNKNOWN,160,758478.27,55252562.19,2026-01,4740.4891875,0.013727476879565863
90+,LOW,West Bengal,120,545452.59,43550999.88,2026-01,4545.43825,0.012524456189362694
90+,MEDIUM,Delhi,119,647106.55,37606926.48,2026-01,5437.8701680672275,0.017207110779024773
90+,MEDIUM,Haryana,109,921401.5399999999,35540462.04,2026-01,8453.225137614678,0.025925423787765703
90+,MEDIUM,Karnataka,114,1500426.01,39822474.28,2026-01,13161.631666666666,0.037677870025106835
90+,MEDIUM,Maharashtra,209,1493858.8,63861635.64,2026-01,7147.64976076555,0.023392116174743186
90+,MEDIUM,Odisha,127,863403.8999999999,46848993.79,2026-01,6798.455905511811,0.01842950787524267
90+,MEDIUM,Rajasthan,110,1039985.3300000001,40388213.94,2026-01,9454.41209090909,0.02574972321244469
90+,MEDIUM,Tamil Nadu,128,830977.5900000001,47129761.8,2026-01,6492.012421875001,0.017631695095900107
90+,MEDIUM,Telangana,132,1110155.5899999999,47740868.75,2026-01,8410.269621212121,0.023253778556344345
90+,MEDIUM,UNKNOWN,148,572667.49,47259089.55,2026-01,3869.374932432432,0.012117615795245468
90+,MEDIUM,West Bengal,101,460116.74,34934334.78,2026-01,4555.611287128713,0.013170903150084255
90+,NPA,Delhi,127,826269.11,45368739.5,2026-01,6506.055984251969,0.018212300343940568
90+,NPA,Haryana,106,852734.78,39288664.35,2026-01,8044.667735849057,0.02170434638356445
90+,NPA,Karnataka,102,760309.48,37551241.54,2026-01,7454.014509803921,0.020247252788968637
90+,NPA,Maharashtra,239,1229605.98,84022001.55,2026-01,5144.794895397489,0.01463433335693965
90+,NPA,Odisha,134,672452.9299999999,44481549.32,2026-01,5018.305447761193,0.015117569875149303
90+,NPA,Rajasthan,125,775282.78,44906359.65,2026-01,6202.26224,0.017264431720641602
90+,NPA,Tamil Nadu,136,1027987.5700000001,43460587.63,2026-01,7558.732132352941,0.02365332882177599
90+,NPA,Telangana,140,918459.22,47343468.48,2026-01,6560.423,0.019399914063922004
90+,NPA,UNKNOWN,124,869870.05,45418673.68,2026-01,7015.081048387097,0.019152255658734595
90+,NPA,West Bengal,113,482918.16,37727610.26,2026-01,4273.61203539823,0.012800125867288367
0-30,HIGH,Delhi,284,1784607.85,101782653.06,2026-02,6283.83045774648,0.017533516727531055
0-30,HIGH,Haryana,263,1269187.85,90690433.15,2026-02,4825.809315589354,0.013994726962002607
0-30,HIGH,Karnataka,268,533266.48,91160697.05,2026-02,1989.8002985074627,0.005849741141267414
0-30,HIGH,Maharashtra,541,2963832.32,195734442.94,2026-02,5478.433123844732,0.0151421092551837
0-30,HIGH,Odisha,312,1316496.82,104355578.75,2026-02,4219.5410897435895,0.012615490573377708
0-30,HIGH,Rajasthan,283,1911983.4,100437677.62,2026-02,6756.125088339222,0.019036515432324867
0-30,HIGH,Tamil Nadu,269,1814561.69,99057523.13,2026-02,6745.58249070632,0.018318262285022268
0-30,HIGH,Telangana,295,794806.69,109914201.43,2026-02,2694.2599661016948,0.007231155570976702
0-30,HIGH,UNKNOWN,300,1017688.5,104300499.83,2026-02,3392.295,0.00975727347096837
0-30,HIGH,West Bengal,298,1581300.24,99313761.1,2026-02,5306.376644295302,0.015922267191228145
0-30,LOW,Delhi,259,1240005.84,97908933.05,2026-02,4787.667335907337,0.012664889723256974
0-30,LOW,Haryana,263,846127.98,97718326.94,2026-02,3217.2166539923955,0.008658846364812721
0-30,LOW,Karnataka,248,939513.55,81791774.03,2026-02,3788.3610887096775,0.011486650841628651
0-30,LOW,Maharashtra,538,3105932.81,184821073.05,2026-02,5773.109312267658,0.016805079414076045
0-30,LOW,Odisha,252,893407.84,84990901.92,2026-02,3545.2692063492063,0.010511805614687375
0-30,LOW,Rajasthan,244,1455834.44,91869971.24,2026-02,5966.534590163934,0.015846684399157977
0-30,LOW,Tamil Nadu,259,1600927.83,94936703.08,2026-02,6181.1885328185335,0.016863107502805858
0-30,LOW,Telangana,301,1838460.18,109212492.91,2026-02,6107.841129568106,0.016833790082193628
0-30,LOW,UNKNOWN,303,1246156.1199999999,102326366.69,2026-02,4112.726468646864,0.012178250438376823
0-30,LOW,West Bengal,266,1078349.6400000001,92281975.7,2026-02,4053.9460150375944,0.011685376605997395
0-30,MEDIUM,Delhi,297,1997231.39,106182036.27,2026-02,6724.684814814815,0.01880950356726475
0-30,MEDIUM,Haryana,263,1627192.77,90949486.4,2026-02,6187.044752851711,0.017891170521222424
0-30,MEDIUM,Karnataka,322,1602884.87,112460301.13,2026-02,4977.903322981367,0.014252895056248549
0-30,MEDIUM,Maharashtra,539,3270949.85,191566362.32,2026-02,6068.552597402598,0.01707476098823695
0-30,MEDIUM,Odisha,302,1625049.87,101613338.6,2026-02,5380.959834437086,0.01599248575422755
0-30,MEDIUM,Rajasthan,296,1386281.83,104884699.99,2026-02,4683.384560810811,0.013217197838504302
0-30,MEDIUM,Tamil Nadu,286,1763375.45,98871979.23,2026-02,6165.648426573426,0.017834936285618035
0-30,MEDIUM,Telangana,296,2226709.95,101242059.73,2026-02,7522.668750000001,0.02199392185360866
0-30,MEDIUM,UNKNOWN,277,1522021.36,95692792.74,2026-02,5494.661949458484,0.01590528728882827
0-30,MEDIUM,West Bengal,262,1273651.4200000002,91116893.7,2026-02,4861.264961832062,0.013978213789788141
0-30,NPA,Delhi,279,1105018.88,104015997.44,2026-02,3960.6411469534046,0.010623547408055312
0-30,NPA,Haryana,242,1134851.48,85545853.76,2026-02,4689.468925619834,0.013266002151125177
0-30,NPA,Karnataka,286,1998674.21,95498321.79,2026-02,6988.371363636364,0.02092889354008825
0-30,NPA,Maharashtra,521,3460965.81,184982851.82,2026-02,6642.928618042227,0.01870965754905616
0-30,NPA,Odisha,289,1785952.82,109574326.03,2026-02,6179.767543252596,0.016299008031416318
0-30,NPA,Rajasthan,249,1129526.99,86447777.52,2026-02,4536.25297188755,0.01306600380488301
0-30,NPA,Tamil Nadu,273,1092399.33,100127482.57000001,2026-02,4001.4627472527477,0.010910084843452387
0-30,NPA,Telangana,291,2567116.67,97482837.67,2026-02,8821.70676975945,0.026334037163446473
0-30,NPA,UNKNOWN,294,1529804.35,102986035.11,2026-02,5203.416156462586,0.014854483409969196
0-30,NPA,West Bengal,248,1650824.54,92130352.8,2026-02,6656.550564516129,0.017918356869680848
31-60,HIGH,Delhi,114,349412.92,38681819.37,2026-02,3065.0256140350875,0.009033001179644359
31-60,HIGH,Haryana,107,518099.24,41491145.52,2026-02,4842.048971962617,0.01248698327093091
31-60,HIGH,Karnataka,117,1083320.3699999999,43334371.66,2026-02,9259.14846153846,0.024999101833059784
31-60,HIGH,Maharashtra,256,1269457.44,82559108.67,2026-02,4958.818125,0.015376346237871756
31-60,HIGH,Odisha,89,626681.89,31855018.11,2026-02,7041.369550561798,0.019672940942490648
31-60,HIGH,Rajasthan,83,472047.83,29265539.12,2026-02,5687.323253012049,0.016129818352719278
31-60,HIGH,Tamil Nadu,120,1070864.13,41718386.57,2026-02,8923.86775,0.025668876916013484
31-60,HIGH,Telangana,91,688282.2000000001,32847568.34,2026-02,7563.54065934066,0.020953825040432205
31-60,HIGH,UNKNOWN,123,1234022.52,42189782.74,2026-02,10032.703414634147,0.029249321514756867
31-60,HIGH,West Bengal,99,1108829.99,32810306.29,2026-02,11200.30292929293,0.03379517338848957
31-60,LOW,Delhi,123,1029554.23,47171329.79,2026-02,8370.359593495934,0.021825847068196465
31-60,LOW,Haryana,109,667494.56,40079602.98,2026-02,6123.803302752294,0.016654220859749647
31-60,LOW,Karnataka,110,818676.76,38003428.57,2026-02,7442.5160000000005,0.021542181608484277
31-60,LOW,Maharashtra,241,1886886.21,84109606.98,2026-02,7829.403360995851,0.022433658624141154
31-60,LOW,Odisha,108,734557.37,35241214.14,2026-02,6801.45712962963,0.020843702123368443
31-60,LOW,Rajasthan,102,570692.36,35508420.51,2026-02,5595.0231372549015,0.01607202888225568
31-60,LOW,Tamil Nadu,111,478564.04000000004,40183047.85,2026-02,4311.387747747748,0.011909600331623426
31-60,LOW,Telangana,121,362441.78,38794081.62,2026-02,2995.386611570248,0.009342708084965875
31-60,LOW,UNKNOWN,122,819763.32,41141188.39,2026-02,6719.3714754098355,0.01992561109876097
31-60,LOW,West Bengal,117,529368.4,40183127.45,2026-02,4524.516239316239,0.013173897443863594
31-60,MEDIUM,Delhi,125,431362.52,44825336.46,2026-02,3450.90016,0.009623185324775586
31-60,MEDIUM,Haryana,121,407658.33,42443120.9,2026-02,3369.077107438017,0.009604815135071748
31-60,MEDIUM,Karnataka,99,761399.77,36894887.07,2026-02,7690.906767676768,0.020636999607978473
31-60,MEDIUM,Maharashtra,194,1062529.22,67343788.04,2026-02,5476.954742268041,0.015777687162012513
31-60,MEDIUM,Odisha,117,637592.08,40081342.4,2026-02,5449.504957264957,0.015907453239390506
31-60,MEDIUM,Rajasthan,108,235705.18,41102096.99,2026-02,2182.4553703703705,0.005734626631272517
31-60,MEDIUM,Tamil Nadu,125,1004282.01,44717561.39,2026-02,8034.25608,0.02245833580327087
31-60,MEDIUM,Telangana,112,398406.72000000003,37341913.55,2026-02,3557.2028571428573,0.010669156508718875
31-60,MEDIUM,UNKNOWN,112,449621.41000000003,36831383.84,2026-02,4014.4768750000003,0.012207562223380201
31-60,MEDIUM,West Bengal,118,983175.01,41574532.3,2026-02,8331.99161016949,0.023648492372817388
31-60,NPA,Delhi,113,623474.06,39786008.410000004,2026-02,5517.469557522124,0.015670686377357048
31-60,NPA,Haryana,114,668217.65,38536856.49,2026-02,5861.558333333333,0.01733970310145554
31-60,NPA,Karnataka,118,580671.92,37853290.77,2026-02,4920.948474576271,0.015340064448510297
31-60,NPA,Maharashtra,235,1454940.31,83918521.47,2026-02,6191.235361702128,0.01733753508181297
31-60,NPA,Odisha,118,935957.8400000001,39958489.32,2026-02,7931.846101694916,0.023423253879909192
31-60,NPA,Rajasthan,99,570469.26,31896620.92,2026-02,5762.315757575758,0.017884943406099207
31-60,NPA,Tamil Nadu,119,691982.1,39565503.29,2026-02,5814.975630252101,0.017489531092983603
31-60,NPA,Telangana,95,398978.15,35423553.93,2026-02,4199.77,0.011263075150178756
31-60,NPA,UNKNOWN,101,496137.5,35013450.61,2026-02,4912.252475247525,0.014169911601294757
31-60,NPA,West Bengal,107,322604.09,34440665.14,2026-02,3014.991495327103,0.009366952951942903
61-90,HIGH,Delhi,105,768489.79,37729023.42,2026-02,7318.950380952381,0.020368663706058894
61-90,HIGH,Haryana,104,128990.21,40134761.85,2026-02,1240.2904807692307,0.003213927380012596
61-90,HIGH,Karnataka,101,358568.32,35672172.78,2026-02,3550.181386138614,0.010051765621662254
61-90,HIGH,Maharashtra,226,1747248.75,79931531.64,2026-02,7731.189159292036,0.021859317770480797
61-90,HIGH,Odisha,104,609658.44,34131797.03,2026-02,5862.100384615384,0.017861891053205993
61-90,HIGH,Rajasthan,106,470404.66000000003,34778477.4,2026-02,4437.7798113207555,0.013525740491445438
61-90,HIGH,Tamil Nadu,130,521414.37,45593576.37,2026-02,4010.8797692307694,0.011436136655932174
61-90,HIGH,Telangana,100,860761.15,29925880.65,2026-02,8607.6115,0.02876310174684868
61-90,HIGH,UNKNOWN,116,800985.67,40613783.93,2026-02,6905.048879310345,0.01972201534780756
61-90,HIGH,West Bengal,124,548895.79,47344215.26,2026-02,4426.578951612903,0.011593724533940033
61-90,LOW,Delhi,112,1031626.03,38529720.62,2026-02,9210.946696428571,0.026774812103477954
61-90,LOW,Haryana,116,698559.8099999999,38446075.07,2026-02,6022.067327586206,0.018169860219231997
61-90,LOW,Karnataka,122,709911.04,42048777.96,2026-02,5818.942950819673,0.016883036188954682
61-90,LOW,Maharashtra,201,1553205.74,66621239.85,2026-02,7727.3917412935325,0.02331397229317701
61-90,LOW,Odisha,118,374028.82,41283156.47,2026-02,3169.7357627118645,0.0090600829001969
61-90,LOW,Rajasthan,105,559585.01,34859561.63,2026-02,5329.381047619047,0.016052554416473883
61-90,LOW,Tamil Nadu,100,288389.69,33386951.09,2026-02,2883.8969,0.008637796521838676
61-90,LOW,Telangana,124,401522.72,47579086.63,2026-02,3238.086451612903,0.008439059016043157
61-90,LOW,UNKNOWN,128,555524.94,45393301.85,2026-02,4340.03859375,0.01223803771392761
61-90,LOW,West Bengal,118,797787.82,43086730.74,2026-02,6760.913728813559,0.018515858741154516
61-90,MEDIUM,Delhi,134,682237.44,47952109.09,2026-02,5091.3241791044775,0.014227475140238923
61-90,MEDIUM,Haryana,98,434317.28,32130280.61,2026-02,4431.808979591837,0.013517382100448455
61-90,MEDIUM,Karnataka,86,473071.83,31152033.02,2026-02,5500.83523255814,0.015185905513655623
61-90,MEDIUM,Maharashtra,212,1237712.53,80838209.2,2026-02,5838.266650943397,0.015310984029072232
61-90,MEDIUM,Odisha,128,768106.47,45100758.17,2026-02,6000.831796875,0.017030899283438806
61-90,MEDIUM,Rajasthan,105,735862.3,33493815.38,2026-02,7008.212380952381,0.021970094826503462
61-90,MEDIUM,Tamil Nadu,99,730316.26,34649701.22,2026-02,7376.931919191919,0.02107713008441347
61-90,MEDIUM,Telangana,112,928490.68,39694332.58,2026-02,8290.095357142858,0.023391013770762338
61-90,MEDIUM,UNKNOWN,111,535596.99,37458140.42,2026-02,4825.198108108108,0.014298547231512566
61-90,MEDIUM,West Bengal,129,779213.0499999999,44725122.44,2026-02,6040.411240310077,0.017422267564394845
61-90,NPA,Delhi,100,360817.62,34362285.22,2026-02,3608.1762,0.0105003965158287
61-90,NPA,Haryana,100,724340.67,34207959.34,2026-02,7243.4067000000005,0.02117462380028659
