opened_month,age_months,accounts,recovery,recovery_per_account
2025-03,15,900,5142698.06,5714.108955555555
2025-03,16,850,4614322.29,5428.614458823529
2025-03,17,843,1368202.49,1623.0160023724793
2025-04,9,1258,6998290.41,5563.028942766296
2025-04,10,1120,6101524.95,5447.790133928572
2025-04,11,1035,7262431.33,7016.8418647343
2025-04,12,979,4471440.59,4567.355045965271
2025-04,13,929,5972918.23,6429.406060279871
2025-04,14,877,5469023.84,6236.059110604333
2025-04,15,862,5264390.18,6107.181183294663
2025-04,16,807,662248.75,820.6304213135069
2025-05,8,1273,7750462.09,6088.34413982718
2025-05,9,1147,6410767.96,5589.1612554489975
2025-05,10,1067,7085904.31,6640.959990627928
2025-05,11,970,5922143.41,6105.302484536082
2025-05,12,909,6835023.82,7519.278129812981
2025-05,13,876,4002387.27,4568.935239726027
2025-05,14,824,6493147.47,7880.033337378641
2025-05,15,789,1099127.49,1393.0639923954373
2025-06,7,1256,8827469.97,7028.240421974523
2025-06,8,1139,6087903.83,5344.955074626866
2025-06,9,1043,5757184.91,5519.832128475551
2025-06,10,969,5755003.36,5939.115954592364
2025-06,11,916,5953957.93,6499.954072052401
2025-06,12,866,5359807.63,6189.154307159353
2025-06,13,814,5312457.51,6526.360577395577
2025-06,14,801,1869696.24,2334.2025468164793
2025-07,6,1284,8939739.63,6962.414042056075
2025-07,7,1120,7694039.03,6869.677705357143
2025-07,8,1052,6591926.42,6266.089752851711
2025-07,9,994,4005753.14,4029.932736418511
2025-07,10,942,6022914.02,6393.75161358811
2025-07,11,898,4833257.33,5382.246469933185
2025-07,12,850,4821999.65,5672.940764705882
2025-07,13,811,1232705.62,1519.9822688039458
2025-08,5,1323,7479328.34,5653.30940287226
2025-08,6,1196,6727835.89,5625.280844481605
2025-08,7,1096,6701750.04,6114.735437956205
2025-08,8,1015,6711148.27,6611.9687389162555
2025-08,9,953,5872984.03,6162.627523609654
2025-08,10,934,5972321.25,6394.348233404711
2025-08,11,909,4182280.55,4600.968701870187
2025-08,12,872,591806.08,678.6766972477063
2025-09,4,1361,8443479.1,6203.878839088905
2025-09,5,1235,7403981.75,5995.126923076923
2025-09,6,1134,6381738.82,5627.635643738978
2025-09,7,1036,6063379.13,5852.682557915058
2025-09,8,977,5932609.76,6072.272016376663
2025-09,9,939,7082230.96,7542.311991480298
2025-09,10,904,5805992.9799999995,6422.55860619469
2025-09,11,854,1027408.01,1203.0538758782202
2025-10,3,1325,8973782.08,6772.665720754717
2025-10,4,1203,7008169.68,5825.577456359102
2025-10,5,1118,7518970.84,6725.376422182469
2025-10,6,1044,4955490.01,4746.637940613026
2025-10,7,972,5769657.3,5935.861419753086
2025-10,8,908,4399310.89,4845.056046255506
2025-10,9,883,5836655.41,6610.028776896942
2025-10,10,852,1376355.92,1615.441220657277
2025-11,2,1254,8504065.17,6781.551172248804
2025-11,3,1111,6311899.58,5681.277749774978
2025-11,4,1008,7062563.07,7006.510982142858
2025-11,5,942,6314157.53,6702.927314225053
2025-11,6,898,6068645.23,6757.956826280624
2025-11,7,846,4038287.43,4773.3893971631205
2025-11,8,816,4235405.12,5190.447450980392
2025-11,9,782,1046463.0,1338.187979539642
